City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Mersin,TR,2022-07-20 22:53:29,36.862,34.6509,79.11,70,0,9.08
201,Wenling,CN,2022-07-20 22:53:30,28.3669,121.36,81.57,90,87,8.32
202,Northam,GB,2022-07-20 22:53:30,51.0333,-4.2167,61.61,81,8,13.29
203,Nabire,ID,2022-07-20 22:51:31,-3.3667,135.4833,75.78,89,89,4.23
204,Gunzenhausen,DE,2022-07-20 22:53:31,49.1,10.75,73.99,80,100,3.71
205,Hithadhoo,MV,2022-07-20 22:53:32,-0.6,73.0833,81.07,69,98,3.09
206,Conde,BR,2022-07-20 22:53:32,-7.2597,-34.9075,72.86,100,100,9.22
207,Pierre,US,2022-07-20 22:50:46,44.3683,-100.351,97.29,27,0,11.5
208,Abu Samrah,SY,2022-07-20 22:53:33,35.3029,37.1841,75.2,62,0,13.96
209,Kirakira,SB,2022-07-20 22:44:06,-10.4544,161.9205,83.34,73,79,7.4
210,Pevek,RU,2022-07-20 22:53:34,69.7008,170.3133,31.73,87,99,15.88
211,Gimbi,ET,2022-07-20 22:53:34,9.1667,35.8333,54.14,99,100,2.24
212,Hay River,CA,2022-07-20 22:44:03,60.8156,-115.7999,60.76,94,75,12.66
213,Laguna,US,2022-07-20 22:52:50,38.421,-121.4238,106.32,22,0,4.61
214,Trelew,AR,2022-07-20 22:49:29,-43.249,-65.3051,45.88,32,83,25.37
215,Zhangye,CN,2022-07-20 22:53:35,38.9342,100.4517,56.86,86,93,22.7
216,Kushima,JP,2022-07-20 22:53:36,31.4583,131.2333,83.48,85,100,8.63
217,Nadym,RU,2022-07-20 22:53:36,65.5333,72.5167,48.49,70,9,10.31
218,Boa Vista,BR,2022-07-20 22:53:37,2.8197,-60.6733,85.98,62,20,2.3
219,Perth,AU,2022-07-20 22:52:15,-31.9333,115.8333,57.38,96,75,21.85
220,Husavik,IS,2022-07-20 22:47:30,66.0449,-17.3389,45.73,91,100,4.32
221,Bulungu,CD,2022-07-20 22:53:38,-4.55,18.6,77.43,55,66,2.62
222,Port Hawkesbury,CA,2022-07-20 22:53:39,45.6169,-61.3485,75.15,65,0,11.5
223,Sorland,NO,2022-07-20 22:53:39,67.667,12.6934,53.46,86,99,15.3
224,Green River,US,2022-07-20 22:53:40,41.5286,-109.4662,91.8,19,48,5.99
225,Uglovskoye,RU,2022-07-20 22:53:40,51.3557,80.1942,71.35,43,100,14.29
226,North Bend,US,2022-07-20 22:51:48,43.4065,-124.2243,77.23,84,100,18.41
227,Nalut,LY,2022-07-20 22:54:41,30.3333,10.85,82.63,23,0,9.04
228,Upernavik,GL,2022-07-20 22:54:41,72.7868,-56.1549,48.69,68,89,7.02
229,Asau,RO,2022-07-20 22:54:42,46.4333,26.4,68.92,68,15,5.26
230,Laurinburg,US,2022-07-20 22:54:42,34.7741,-79.4628,89.94,73,73,1.99
231,Nishihara,JP,2022-07-20 22:54:43,26.1842,127.7558,85.28,89,20,8.05
232,Falesti,MD,2022-07-20 22:54:44,47.5736,27.7092,71.46,68,13,7.25
233,Sao Joao Da Barra,BR,2022-07-20 22:54:45,-21.6403,-41.0511,68.56,92,7,8.95
234,Paratebueno,CO,2022-07-20 22:54:45,4.3758,-73.2155,72.5,97,97,2.8
235,Kieta,PG,2022-07-20 22:54:46,-6.2167,155.6333,83.17,71,88,3.18
236,Leningradskiy,RU,2022-07-20 22:54:47,69.3833,178.4167,33.28,99,100,20.71
237,Norman Wells,CA,2022-07-20 22:54:48,65.282,-126.8329,77.04,33,75,6.91
238,Takoradi,GH,2022-07-20 22:54:49,4.8845,-1.7554,73.24,75,47,7.72
239,Cacu,BR,2022-07-20 22:52:48,-18.5567,-51.1308,71.51,32,45,5.3
240,Lasa,IT,2022-07-20 22:54:50,46.6166,10.7002,70.36,87,31,3.04
241,Luderitz,NA,2022-07-20 22:54:50,-26.6481,15.1594,56.34,61,5,15.61
242,Ilulissat,GL,2022-07-20 22:54:51,69.2167,-51.1,48.42,66,100,6.35
243,Huntington,US,2022-07-20 22:53:43,38.4193,-82.4452,91.35,71,26,5.66
244,San Andres,CO,2022-07-20 22:54:52,12.5847,-81.7006,86.02,70,40,11.5
245,Fortuna,US,2022-07-20 22:47:28,40.5982,-124.1573,70.09,70,35,3.0
246,Esso,RU,2022-07-20 22:54:52,55.9333,158.7,76.77,48,3,5.64
247,Porbandar,IN,2022-07-20 22:54:53,21.6422,69.6093,80.69,86,69,17.11
248,Nouadhibou,MR,2022-07-20 22:54:54,20.931,-17.0347,69.78,94,40,11.5
249,Chuy,UY,2022-07-20 22:54:55,-33.6971,-53.4616,55.78,96,1,6.71
250,Konya,TR,2022-07-20 22:54:56,38.1667,32.5,60.91,66,0,2.62
251,Brigantine,US,2022-07-20 22:54:56,39.4101,-74.3646,89.04,74,1,15.1
252,Prince Albert,CA,2022-07-20 22:54:57,53.2001,-105.7677,71.55,43,75,23.02
253,Dauriya,RU,2022-07-20 22:54:58,49.9333,116.8667,69.4,69,94,3.8
254,Namibe,AO,2022-07-20 22:44:10,-15.1961,12.1522,62.56,80,1,5.35
255,Singkang,MY,2022-07-20 22:54:59,2.1006,102.7994,74.35,96,85,0.4
256,Lufilufi,WS,2022-07-20 22:54:59,-13.8745,-171.5986,85.78,76,35,24.45
257,Yabelo,ET,2022-07-20 22:55:00,4.8833,38.0833,56.44,81,93,10.67
258,Aksha,RU,2022-07-20 22:55:01,50.2814,113.2867,61.61,84,29,2.28
259,Haines Junction,CA,2022-07-20 22:55:01,60.7522,-137.5108,53.55,58,100,6.91
260,Narsaq,GL,2022-07-20 22:55:02,60.9167,-46.05,52.75,87,75,2.46
261,Maroantsetra,MG,2022-07-20 22:55:02,-15.4333,49.7333,66.02,84,33,2.73
262,Bastos,BR,2022-07-20 22:55:03,-21.9219,-50.7339,73.54,48,52,6.02
263,Baykit,RU,2022-07-20 22:51:02,61.67,96.37,55.6,89,27,2.39
264,Ixtapa,MX,2022-07-20 22:55:04,20.7,-105.2,90.23,73,99,4.0
265,Sao Filipe,CV,2022-07-20 22:55:05,14.8961,-24.4956,76.41,88,75,5.21
266,Meulaboh,ID,2022-07-20 22:55:05,4.1363,96.1285,75.22,84,98,3.13
267,Batouri,CM,2022-07-20 22:55:06,4.4333,14.3667,67.75,98,99,1.92
268,Kelvington,CA,2022-07-20 22:55:07,52.1667,-103.5343,69.48,58,13,16.37
269,Kholtoson,RU,2022-07-20 22:55:07,50.2981,103.3097,51.71,80,98,1.97
270,Shelburne,CA,2022-07-20 22:55:08,44.0787,-80.2041,79.56,72,100,21.21
271,Thompson,CA,2022-07-20 22:55:09,55.7435,-97.8558,68.16,68,75,5.75
272,Severo-Yeniseyskiy,RU,2022-07-20 22:56:09,60.3725,93.0408,50.49,90,60,3.62
273,Port Alfred,ZA,2022-07-20 22:54:16,-33.5906,26.891,55.18,97,99,1.99
274,Magistralnyy,RU,2022-07-20 22:56:10,56.1725,107.4458,56.64,88,67,0.76
275,Sur,OM,2022-07-20 22:56:10,22.5667,59.5289,83.44,77,89,14.81
276,Liloy,PH,2022-07-20 22:56:11,8.1144,122.6594,79.2,83,34,2.35
277,Balky,UA,2022-07-20 22:56:11,47.3834,34.944,66.27,81,86,13.6
278,Sapouy,BF,2022-07-20 22:56:12,11.5544,-1.7736,77.43,73,95,3.6
