City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Tuatapere,NZ,-46.1333,167.6833,43.21,92,26,2.33,scattered clouds
255,Sechura,PE,-5.5569,-80.8222,62.85,87,27,10.58,scattered clouds
256,Miandrivazo,MG,-19.5167,45.4667,75.51,48,14,1.61,few clouds
257,Isangel,VU,-19.55,169.2667,77.99,83,1,8.88,clear sky
258,Tanda,IN,26.55,82.65,92.93,53,97,19.04,overcast clouds
259,Ayagoz,KZ,47.9714,80.4392,84.36,20,33,10.4,scattered clouds
260,Springbok,ZA,-29.6643,17.8865,40.37,63,0,15.82,clear sky
261,Poum,NC,-20.2333,164.0167,74.48,71,69,9.57,broken clouds
262,Itarema,BR,-2.9248,-39.9167,77.76,81,40,14.23,scattered clouds
263,College,US,64.8569,-147.8028,66.18,48,40,3.44,haze
264,Balkanabat,TM,39.5108,54.3671,87.76,40,18,6.82,few clouds
265,Caravelas,BR,-17.7125,-39.2481,67.93,79,4,3.56,clear sky
266,Apollonia,GR,36.9716,24.7231,78.39,70,0,16.11,clear sky
267,Gimli,CA,50.6336,-96.9907,57.02,84,72,14.23,broken clouds
268,Gidam,IN,18.9833,81.4,77.09,90,99,5.77,overcast clouds
269,Bintulu,MY,3.1667,113.0333,88.21,70,20,7.0,few clouds
270,Utete,TZ,-7.986,38.758,76.95,65,25,4.41,scattered clouds
271,Chokurdakh,RU,70.6333,147.9167,68.68,31,83,10.78,broken clouds
272,Santa Cruz Del Sur,CU,20.7147,-77.9956,77.38,85,96,14.09,overcast clouds
273,Coahuayana,MX,18.7333,-103.6833,76.21,89,53,3.69,broken clouds
274,Manzanillo,CU,20.3433,-77.1167,75.04,89,99,9.26,overcast clouds
275,Springfield,US,37.2153,-93.2982,83.23,56,0,5.75,clear sky
276,Vila Velha,BR,-20.3297,-40.2925,67.95,92,40,0.0,scattered clouds
277,Nuuk,GL,64.1835,-51.7216,45.21,78,40,8.93,scattered clouds
278,Erzin,TR,36.9559,36.2,85.1,22,0,9.35,clear sky
279,Soe,ID,-9.8607,124.284,76.82,41,51,8.61,broken clouds
280,Jiuquan,CN,39.7432,98.5174,92.48,12,1,5.66,clear sky
281,San Quintin,MX,30.4833,-115.95,65.98,85,5,5.23,clear sky
282,Westport,US,41.1415,-73.3579,79.18,85,0,4.61,clear sky
283,Vardo,NO,70.3705,31.1107,51.78,87,100,18.41,overcast clouds
284,Zeven,DE,53.3,9.2833,58.71,67,57,7.65,broken clouds
285,North Bend,US,43.4065,-124.2243,58.91,95,40,14.97,scattered clouds
286,Sunland Park,US,31.7965,-106.58,87.91,37,20,10.36,few clouds
287,Goderich,CA,43.7501,-81.7165,76.91,78,64,11.5,broken clouds
288,Regina,CA,50.4501,-104.6178,55.38,82,20,3.44,few clouds
289,Amuntai,ID,-2.4177,115.2494,93.88,42,35,1.86,scattered clouds
290,Matagami,CA,49.7502,-77.6328,57.31,94,75,3.44,broken clouds
291,Hay River,CA,60.8156,-115.7999,58.98,94,100,5.75,overcast clouds
292,Ilulissat,GL,69.2167,-51.1,38.79,98,100,2.48,overcast clouds
293,Shingu,JP,33.7333,135.9833,83.97,68,80,6.11,broken clouds
294,Kharp,RU,66.8014,65.8081,58.14,67,77,11.79,broken clouds
295,Khangarh,PK,29.9173,71.1618,86.07,79,100,8.63,overcast clouds
296,Da Lat,VN,11.9465,108.4419,77.65,53,25,3.76,scattered clouds
297,Oneonta,US,42.4529,-75.0638,65.86,91,66,4.5,broken clouds
298,Puerto Escondido,MX,15.85,-97.0667,79.54,84,99,3.2,overcast clouds
299,Robertson,US,36.5167,-86.8667,82.89,79,20,5.75,few clouds
300,Achikulak,RU,44.5517,44.8378,76.15,43,23,15.57,few clouds
301,Roma,US,43.2128,-75.4557,67.12,83,43,4.18,scattered clouds
302,Camapua,BR,-19.5314,-54.0439,71.31,41,100,5.21,overcast clouds
303,Senador Jose Porfirio,BR,-2.5908,-51.9542,76.82,75,97,2.91,overcast clouds
304,Aklavik,CA,68.2191,-135.0107,42.55,86,100,9.48,overcast clouds
305,Borovoy,RU,55.4333,86.0833,64.69,82,40,6.71,light rain
306,Okha,RU,53.5739,142.9478,65.84,75,15,15.01,few clouds
307,Atherton,GB,53.5237,-2.4935,64.11,83,100,9.98,overcast clouds
308,Pevek,RU,69.7008,170.3133,38.3,80,93,8.9,overcast clouds
309,Ostrovnoy,RU,68.0531,39.5131,53.26,82,96,11.83,overcast clouds
310,Atambua,ID,-9.1061,124.8925,79.32,50,30,1.41,scattered clouds
311,Haines Junction,CA,60.7522,-137.5108,55.35,47,70,11.5,broken clouds
312,Gunjur,GM,13.2019,-16.7339,77.65,87,95,6.24,moderate rain
313,Sherghati,IN,24.5667,84.7833,91.02,45,97,10.29,overcast clouds
314,San Benedetto Del Tronto,IT,42.9456,13.8816,89.06,40,22,3.65,few clouds
315,Smithers,CA,54.7804,-127.1743,68.32,42,100,8.05,overcast clouds
316,Dospat,BG,41.65,24.1667,77.27,29,0,2.15,clear sky
317,Port Hedland,AU,-20.3167,118.5667,80.65,26,0,9.22,clear sky
318,Stephenville,US,32.2207,-98.2023,86.86,44,40,8.05,scattered clouds
319,Trabzon,TR,40.9167,39.8333,62.69,73,75,12.66,broken clouds
320,Hambantota,LK,6.1241,81.1185,86.34,74,75,11.5,broken clouds
321,Bilibino,RU,68.0546,166.4372,63.45,33,89,9.55,overcast clouds
322,Geraldton,AU,-28.7667,114.6,63.01,63,2,9.22,clear sky
323,Zavoronezhskoye,RU,52.8801,40.5526,73.63,62,35,4.63,scattered clouds
